iter	Passed	Remaining
823	1746	372
824	1747	370
825	1747	368
826	1748	365
827	1749	363
828	1750	361
829	1751	358
830	1752	356
831	1754	354
832	1755	351
833	1756	349
834	1757	347
835	1758	344
836	1759	342
837	1760	340
838	1761	338
839	1762	335
840	1763	333
841	1764	331
842	1765	328
843	1766	326
844	1766	324
845	1769	322
846	1770	319
847	1771	317
848	1772	315
849	1773	313
850	1774	310
851	1775	308
852	1777	306
853	1779	304
854	1781	302
855	1782	299
856	1783	297
857	1785	295
858	1786	293
859	1787	290
860	1788	288
861	1789	286
862	1790	284
863	1792	282
864	1793	279
865	1795	277
866	1796	275
867	1797	273
868	1800	271
869	1801	269
870	1802	266
871	1803	264
872	1804	262
873	1805	260
874	1808	258
875	1809	256
876	1811	254
877	1812	251
878	1814	249
879	1815	247
880	1817	245
881	1819	243
882	1825	241
883	1826	239
884	1827	237
885	1828	235
886	1829	233
887	1832	231
888	1833	228
889	1838	227
890	1839	225
891	1841	222
892	1844	221
893	1846	218
894	1848	216
895	1853	215
896	1854	212
897	1855	210
898	1856	208
899	1858	206
900	1859	204
901	1860	202
902	1861	199
903	1862	197
904	1863	195
905	1869	194
906	1871	191
907	1872	189
908	1873	187
909	1874	185
910	1937	189
911	1942	187
912	1944	185
913	1956	184
914	1958	181
915	1960	179
916	1969	178
917	1972	176
918	1974	174
919	1976	171
920	1977	169
921	1982	167
922	1986	165
923	1987	163
924	1995	161
925	1997	159
926	1999	157
927	2002	155
928	2011	153
929	2012	151
930	2014	149
931	2020	147
932	2026	145
933	2029	143
934	2033	141
935	2035	139
936	2040	137
937	2046	135
938	2075	134
939	2077	132
940	2106	132
941	2108	129
942	2109	127
943	2119	125
944	2121	123
945	2125	121
946	2128	119
947	2135	117
948	2141	115
949	2143	112
950	2151	110
951	2152	108
952	2154	106
953	2158	104
954	2165	102
955	2167	99
956	2169	97
957	2170	95
958	2172	92
959	2173	90
960	2183	88
961	2214	87
962	2217	85
963	2220	82
964	2222	80
965	2231	78
966	2233	76
967	2235	73
968	2236	71
969	2238	69
970	2241	66
971	2243	64
972	2244	62
973	2245	59
974	2253	57
975	2255	55
976	2257	53
977	2258	50
978	2259	48
979	2261	46
980	2262	43
981	2263	41
982	2265	39
983	2266	36
984	2268	34
985	2269	32
986	2270	29
987	2272	27
988	2273	25
989	2274	22
990	2282	20
991	2284	18
992	2285	16
993	2287	13
994	2288	11
995	2289	9
996	2293	6
997	2295	4
998	2297	2
999	2299	0
